"URL","HTMLMatches","URLMatches","HC","T"
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:12:16
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:00:03
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:48:13,2011-07-29 19:02:26
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:03:27
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:00:03
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:48:43,2011-07-29 19:08:16
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:02,2011-07-29 19:13:42
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:00:10
"http://clerk.house.gov/evs/2011/roll677.xml#N",0,0,2011-07-29 18:52:27,2011-07-29 19:15:46
"http://clerk.house.gov/evs/2011/roll677.xml#N",0,0,2011-07-29 18:52:27,2011-07-29 19:08:42
"http://clerk.house.gov/evs/2011/roll677.xmlRT",0,0,2011-07-29 18:59:43,2011-07-29 19:00:06
"http://clerk.house.gov/evs/2011/roll677.xmlRT",0,0,2011-07-29 18:59:43,2011-07-29 19:03:59
"http://clerk.house.gov/evs/2011/roll677.xmlRT",0,0,2011-07-29 18:59:43,2011-07-29 19:02:52
"http://clerk.house.gov/evs/2011/roll677.xmlRT",0,0,2011-07-29 18:59:43,2011-07-29 19:00:06
"http://clerk.house.gov/evs/2011/roll677.xmlRT",0,0,2011-07-29 18:59:43,2011-07-29 19:00:06
"http://clerk.house.gov/evs/2011/roll677.xmlRT",0,0,2011-07-29 18:59:43,2011-07-29 19:03:24
"http://climate.nasa.gov/earthWallpaper/",0,0,2011-04-22 13:49:50,2011-07-29 19:13:59
"http://connolly.house.gov/index.cfm?sectionid=44&sectiontree=6,44&itemid=522",1,0,2011-07-29 19:03:27,2011-07-29 19:04:22
"http://connolly.house.gov/index.cfm?sectionid=44&sectiontree=6,44&itemid=522",1,0,2011-07-29 19:03:27,2011-07-29 19:04:10
"http://corker.senate.gov/public/index.cfm?p=ContactMe",1,0,2010-03-22 16:01:58,2011-07-29 19:06:36
"http://costello.house.gov/press/2011/jul27.shtml",0,0,2011-07-27 18:21:08,2011-07-29 19:14:53
"http://courtney.house.gov/index.cfm?sectionid=206&sectiontree=4,11,206&itemid=978",1,0,2011-07-29 18:39:08,2011-07-29 19:16:25
"http://durbin.senate.gov/public/index.cfm/social-media-user-agreement",0,0,2011-03-07 14:41:51,2011-07-29 19:11:13
"http://durbin.senate.gov/public/index.cfm/social-media-user-agreement",0,0,2011-03-07 14:41:51,2011-07-29 19:09:38
"http://earthobservatory.nasa.gov/IOTD/view.php?id=2561",0,0,2011-02-28 03:38:50,2011-07-29 19:09:41
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:16:29
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:15:42
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:10:19
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:15:41
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:18:01
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:03:59
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:13:20
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:13:58
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:13:05
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:05:06
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:08:05
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:01:58
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:02:27
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:15:26
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:01:58
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:17:54
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:14:43
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:03:14
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:00:59
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:01:58
